objectid,name,nguid,local_id,source_datadesc,source_datasetid,source_featureid,source_originator,loaddate,county_fips,county_id,shape_Length,shape_Area
1,Adams County,urn:emergency:uid:gis:A2:0:ADAMS.IN.US,0,COUNTY BOUNDARY,COUNTYBOUNDARY.SHP,0,ADAMS COUNTY,2023/08/01 00:00:00+00,18001,1,123245.284525946,880279693.770151
2,Allen County,urn:emergency:uid:gis:A2:1:ALLEN.IN.US,1,COUNTY BOUNDARY,COUNTYBOUNDARY,1,ALLEN COUNTY,2023/08/28 00:00:00+00,18003,2,166822.276715579,1709119883.27168
3,Blackford County,urn:emergency:uid:gis:A2:0:BLACKFORD.IN.US,0,COUNTY BOUNDARY,BLACKFORD_COUNTY.SHP,0,BLACKFORD COUNTY,2023/09/11 00:00:00+00,18009,5,83341.1158124763,428796912.467494
4,Boone County,urn:emergency:uid:gis:A2:0:BOONE.IN.US,0,COUNTY BOUNDARY,COUNTY.SHP,0,BOONE COUNTY,2023/08/29 00:00:00+00,18011,6,134226.622547455,1095387957.44626
5,Brown County,urn:emergency:uid:gis:A2:0:BROWN.IN.US,0,COUNTY BOUNDARY,COUNTY,1,BROWN COUNTY,2023/08/31 00:00:00+00,18013,7,116530.130788456,819683026.377353
6,Carroll County,urn:emergency:uid:gis:A2:0:CARROLL.IN.US,0,COUNTY BOUNDARY,COUNTYBOUNDARY,1,CARROLL COUNTY,2023/08/15 00:00:00+00,18015,8,140128.456666464,970700860.268929
7,Clark County,urn:emergency:uid:gis:A2:0:CLARK.IN.US,0,COUNTY BOUNDARY,CLARKINDIANA_COUNTY_BOUNDARY.SHP,0,CLARK COUNTY,2023/08/01 00:00:00+00,18019,10,167053.877658038,974926292.429834
8,Daviess County,urn:emergency:uid:gis:A2:0:DAVIESS.IN.US,0,COUNTY BOUNDARY,COUNTYBOUNDARY,1,DAVIESS COUNTY,2023/08/04 00:00:00+00,18027,14,217708.208687369,1130391048.35928
9,Dekalb County,urn:emergency:uid:gis:A2:1:DEKALB.IN.US,1,COUNTY BOUNDARY,COUNTYBOUNDARY,1,DEKALB COUNTY,2023/08/22 00:00:00+00,18033,17,123024.558916737,942488049.29033
10,Delaware County,urn:emergency:uid:gis:A2:1:DELAWARE.IN.US,1,COUNTY BOUNDARY,COUNTYBOUNDARY,1,DELAWARE COUNTY,2023/08/02 00:00:00+00,18035,18,128531.474194257,1024741222.44879
11,Dubois County,urn:emergency:uid:gis:A2:0:DUBOIS.IN.US,0,COUNTY BOUNDARY,COUNTY,1,DUBOIS COUNTY,2023/08/31 00:00:00+00,18037,19,147182.455274606,1126264507.34163
12,Elkhart County,urn:emergency:uid:gis:A2:1:ELKHART.IN.US,1,COUNTY BOUNDARY,COUNTY_POLY,1,ELKHART COUNTY,2023/10/10 00:00:00+00,18039,20,139317.085532211,1211555251.163
13,Fayette County,urn:emergency:uid:gis:A2:0:FAYETTE.IN.US,0,COUNTY BOUNDARY,COUNTYBOUNDARY,1,FAYETTE COUNTY,2023/08/23 00:00:00+00,18041,21,103754.18150661,557462268.293464
14,Fountain County,urn:emergency:uid:gis:A2:0:FOUNTAIN.IN.US,0,COUNTY BOUNDARY,018045COUNTYBOUNDARY_AREA.SHP,0,FOUNTAIN COUNTY,2023/08/31 00:00:00+00,18045,23,142425.562208257,1029619966.30426
15,Franklin County,urn:emergency:uid:gis:A2:0:FRANKLIN.IN.US,0,COUNTY BOUNDARY,COUNTY,1,FRANKLIN COUNTY,2023/08/31 00:00:00+00,18047,24,137480.183336013,1012550598.65437
16,Fulton County,urn:emergency:uid:gis:A2:0:FULTON.IN.US,0,COUNTY BOUNDARY,COUNTYBOUNDARY,1,FULTON COUNTY,2023/08/15 00:00:00+00,18049,25,145944.266319774,960888361.241407
17,Gibson County,urn:emergency:uid:gis:A2:4:GIBSON.IN.US,4,COUNTY BOUNDARY,GIBSONINDIANA_COUNTY_BOUNDARY.SHP,0,GIBSON COUNTY,2023/08/07 00:00:00+00,18051,26,237477.356309216,1292869365.73118
18,Greene County,urn:emergency:uid:gis:A2:0:GREENE.IN.US,0,COUNTY BOUNDARY,COUNTYBOUNDARY,1,GREENE COUNTY,2023/08/15 00:00:00+00,18055,28,155107.628360041,1412798438.49473
19,Hamilton County,urn:emergency:uid:gis:A2:BND0000001:HAMILTON.IN.US,BND0000001,COUNTY BOUNDARY,HAMCO_COUNTYBOUNDARY,1,HAMILTON COUNTY,2023/08/29 00:00:00+00,18057,29,129260.15228711,1041463531.61788
20,Hancock County,urn:emergency:uid:gis:A2:1:HANCOCK.IN.US,1,COUNTY BOUNDARY,COUNTYBOUNDARY,1,HANCOCK COUNTY,2023/08/04 00:00:00+00,18059,30,119083.452390541,794982140.092443
21,Henry County,urn:emergency:uid:gis:A2:1:HENRY.IN.US,1,COUNTY BOUNDARY,COUNTYBOUNDARY,1,HENRY COUNTY,2023/08/18 00:00:00+00,18065,33,131882.10963145,1022171279.18299
22,Jackson County,urn:emergency:uid:gis:A2:0:JACKSON.IN.US,0,COUNTY BOUNDARY,COUNTY,1,JACKSON COUNTY,2023/08/31 00:00:00+00,18071,36,200249.864834606,1327998490.31082
23,Jasper County,urn:emergency:uid:gis:A2:0:JASPER.IN.US,0,COUNTY BOUNDARY,COUNTYBOUNDARY,1,JASPER COUNTY,2023/08/31 00:00:00+00,18073,37,172512.785825073,1452839277.91095
24,Jefferson County,urn:emergency:uid:gis:A2:0:JEFFERSON.IN.US,0,COUNTY BOUNDARY,COUNTY,1,JEFFERSON COUNTY,2023/08/31 00:00:00+00,18077,39,167220.076492896,939736889.303177
25,Jennings County,urn:emergency:uid:gis:A2:0:JENNINGS.IN.US,0,COUNTY BOUNDARY,COUNTYBOUNDARY,1,JENNINGS COUNTY,2023/08/15 00:00:00+00,18079,40,150211.295066518,979870390.61324
26,Knox County,urn:emergency:uid:gis:A2:0:KNOX.IN.US,0,COUNTY BOUNDARY,COUNTYBOUNDARY,1,KNOX COUNTY,2023/08/15 00:00:00+00,18083,42,320155.469537483,1355272027.4642
27,Kosciusko County,urn:emergency:uid:gis:A2:18085:KOSCIUSKO.IN.US,18085,COUNTY BOUNDARY,COUNTY_BOUNDARY,1,KOSCIUSKO COUNTY,2023/09/06 00:00:00+00,18085,43,158830.213625183,1434922812.78382
28,Lake County,urn:emergency:uid:gis:A2:BND01:LAKE.IN.US,BND01,COUNTY BOUNDARY,LAKECOUNTYBOUNDARY,1,LAKE COUNTY,2023/08/03 00:00:00+00,18089,45,172580.85716996,1308114484.94326
29,Laporte County,urn:emergency:uid:gis:A2:0:LAPORTE.IN.US,0,COUNTY BOUNDARY,COUNTYBOUNDARY.SHP,0,LAPORTE COUNTY,2023/08/18 00:00:00+00,18091,46,178707.122714546,1587317574.07281
30,Madison County,urn:emergency:uid:gis:A2:BND00269:MADISON.IN.US,BND 00269,COUNTY BOUNDARY,COUNTYBOUNDARY,1,MADISON COUNTY,2023/09/11 00:00:00+00,18095,48,145149.801445302,1172432688.6324
31,Marion County,urn:emergency:uid:gis:A2:1:MARION.IN.US,1,COUNTY BOUNDARY,COUNTY,1,MARION COUNTY,2023/08/31 00:00:00+00,18097,49,131482.153926593,1043008906.57367
32,Montgomery County,urn:emergency:uid:gis:A2:0:MONTGOMERY.IN.US,0,COUNTY BOUNDARY,COUNTYBOUNDARY,1,MONTGOMERY COUNTY,2023/08/31 00:00:00+00,18107,54,145155.753029664,1308061018.12338
33,Newton County,urn:emergency:uid:gis:A2:51:NEWTON.IN.US,51,COUNTY BOUNDARY,COUNTY,52,NEWTON COUNTY,2023/08/17 00:00:00+00,18111,56,147301.785334231,1043850069.50477
34,Noble County,urn:emergency:uid:gis:A2:BND0057:NOBLE.IN.US,BND0057,COUNTY BOUNDARY,COUNTYBOUNDARY,1,NOBLE COUNTY,2023/09/27 00:00:00+00,18113,57,134758.733535086,1080451315.21405
35,Ohio County,urn:emergency:uid:gis:A2:0:OHIO.IN.US,0,COUNTY BOUNDARY,COUNTYBOUNDARY,1,OHIO COUNTY,2023/08/15 00:00:00+00,18115,58,87451.4731063483,226410326.635675
36,Owen County,urn:emergency:uid:gis:A2:0:OWEN.IN.US,0,COUNTY BOUNDARY,COUNTYBOUNDARY,1,OWEN COUNTY,2023/08/15 00:00:00+00,18119,60,146217.320260461,1003228764.03216
37,Parke County,urn:emergency:uid:gis:A2:0:PARKE.IN.US,0,COUNTY BOUNDARY,COUNTY,1,PARKE COUNTY,2023/07/31 00:00:00+00,18121,61,153751.925464106,1163932205.53304
38,Perry County,urn:emergency:uid:gis:A2:0:PERRY.IN.US,0,COUNTY BOUNDARY,COUNTY,1,PERRY COUNTY,2023/09/01 00:00:00+00,18123,62,181364.72394814,1015106324.76766
39,Pike County,urn:emergency:uid:gis:A2:63:PIKE.IN.US,63,COUNTY BOUNDARY,018125COUNTYBOUNDARY_AREA.SHP,0,PIKE COUNTY,2023/08/31 00:00:00+00,18125,63,171693.977424396,882531842.870832
40,Porter County,urn:emergency:uid:gis:A2:CNTY00000001:PORTER.IN.US,CNTY00000001,COUNTY BOUNDARY,COUNTYBOUNDARY,1,PORTER COUNTY,2023/08/28 00:00:00+00,18127,64,153915.845732137,1087439014.68026
41,Posey County,urn:emergency:uid:gis:A2:0:POSEY.IN.US,0,COUNTY BOUNDARY,COUNTYBOUNDARY,1,POSEY COUNTY,2023/08/31 00:00:00+00,18129,65,225902.447214786,1085479642.62328
42,Pulaski County,urn:emergency:uid:gis:A2:0:PULASKI.IN.US,0,COUNTY BOUNDARY,COUNTY,1,PULASKI COUNTY,2023/08/31 00:00:00+00,18131,66,135705.167323352,1124718769.51794
43,Putnam County,urn:emergency:uid:gis:A2:0:PUTNAM.IN.US,0,COUNTY BOUNDARY,COUNTYBOUNDARY,1,PUTNAM COUNTY,2023/08/15 00:00:00+00,18133,67,155149.220740187,1249895954.32034
44,Randolph County,urn:emergency:uid:gis:A2:0:RANDOLPH.IN.US,0,COUNTY BOUNDARY,COUNTY,1,RANDOLPH COUNTY,2023/08/17 00:00:00+00,18135,68,137458.084408081,1174280753.37924
45,Ripley County,urn:emergency:uid:gis:A2:0:RIPLEY.IN.US,0,COUNTY BOUNDARY,COUNTYBOUNDARY,1,RIPLEY COUNTY,2023/07/25 00:00:00+00,18137,69,138818.93539224,1160246813.93298
46,Rush County,urn:emergency:uid:gis:A2:0:RUSH.IN.US,0,COUNTY BOUNDARY,RUSHINDIANA_COUNTY_BOUNDARY.SHP,0,RUSH COUNTY,2023/08/07 00:00:00+00,18139,70,131384.506994564,1057201951.53285
47,St Joseph County,urn:emergency:uid:gis:A2:0:STJOSEPH.IN.US,0,COUNTY BOUNDARY,18141COUNTYBOUNDARY_AREA.SHP,0,ST JOSEPH COUNTY,2023/08/31 00:00:00+00,18141,71,155461.724013775,1193989789.88724
48,Scott County,urn:emergency:uid:gis:A2:0:SCOTT.IN.US,0,COUNTY BOUNDARY,COUNTY,1,SCOTT COUNTY,2023/08/31 00:00:00+00,18143,72,118672.720494356,498574942.103625
49,Shelby County,urn:emergency:uid:gis:A2:0:SHELBY.IN.US,0,COUNTY BOUNDARY,COUNTY,1,SHELBY COUNTY,2023/08/31 00:00:00+00,18145,73,132896.439156587,1068061250.90029
