Corp ID,Corp Name,Schl ID,Schl Name,year,American Indian,Asian or Pacific Islander,Black,Hispanic,Multiracial,White,Free Meals,Reduced Price Meals,Paid Meals,TOTAL ENROLLMENT,School Name,ELL N,ELL %,Special Education N,Special Education %,Total Enrollment,white_percent,free_meals_percent,reduced_meals_percent,free_reduced_meal_percent
0025,North Adams Community Schools,0009,Monmouth Elementary School,2006,2,NA,1,9,6,217,50,9,176,235,Monmouth Elementary School,2,0.00851063829787234,41,0.17446808510638298,235,0.9234042553191489,0.2127659574468085,0.03829787234042553,0.251063829787234
0015,Adams Central Community Schools,0013,Adams Central Middle School,2006,NA,1,NA,1,NA,252,13,16,225,254,Adams Central Middle School,0,0,16,0.06299212598425197,254,0.9921259842519685,0.051181102362204724,0.06299212598425197,0.1141732283464567
0035,South Adams Schools,0017,South Adams Middle School,2006,1,2,2,15,8,301,84,27,218,329,South Adams Middle School,16,0.0486322188449848,35,0.10638297872340426,329,0.9148936170212766,0.2553191489361702,0.08206686930091185,0.3373860182370821
0015,Adams Central Community Schools,0020,Adams Central Elementary Sch,2006,NA,1,NA,9,4,485,28,24,447,499,Adams Central Elementary Sch,5,0.01002004008016032,69,0.13827655310621242,499,0.9719438877755511,0.056112224448897796,0.04809619238476954,0.10420841683366733
0015,Adams Central Community Schools,0021,Adams Central High School,2006,NA,4,NA,8,1,378,21,8,362,391,Adams Central High School,1,0.0025575447570332483,26,0.06649616368286446,391,0.9667519181585678,0.05370843989769821,0.020460358056265986,0.0741687979539642
0035,South Adams Schools,0023,South Adams High School,2006,2,3,4,35,7,632,123,41,519,683,South Adams High School,14,0.020497803806734993,62,0.09077598828696926,683,0.9253294289897511,0.1800878477306003,0.060029282576866766,0.24011713030746706
0035,South Adams Schools,0025,South Adams Elem School,2006,NA,1,3,26,8,410,114,45,289,448,South Adams Elem School,30,0.06696428571428571,64,0.14285714285714285,448,0.9151785714285714,0.2544642857142857,0.10044642857142858,0.3549107142857143
0025,North Adams Community Schools,0029,Bellmont Senior High School,2006,1,4,3,52,14,836,87,50,773,910,Bellmont Senior High School,18,0.01978021978021978,98,0.1076923076923077,910,0.9186813186813186,0.0956043956043956,0.054945054945054944,0.15054945054945054
0025,North Adams Community Schools,0033,Bellmont Middle School,2006,1,5,1,31,21,382,105,32,304,441,Bellmont Middle School,8,0.018140589569160998,66,0.14965986394557823,441,0.8662131519274376,0.23809523809523808,0.07256235827664399,0.31065759637188206
0025,North Adams Community Schools,0037,Northwest Elementary,2006,3,NA,3,27,14,278,97,36,192,325,Northwest Elementary,8,0.024615384615384615,44,0.13538461538461538,325,0.8553846153846154,0.29846153846153844,0.11076923076923077,0.40923076923076923
0025,North Adams Community Schools,0041,Southeast Elementary School,2006,1,3,1,24,36,255,102,20,198,320,Southeast Elementary School,4,0.0125,50,0.15625,320,0.796875,0.31875,0.0625,0.38125
0125,M S D Southwest Allen County,0045,Aboite Elementary School,2006,2,18,13,11,10,446,4,10,486,500,Aboite Elementary School,1,0.002,61,0.122,500,0.892,0.008,0.02,0.028
0125,M S D Southwest Allen County,0046,Whispering Meadow Elem Sch,2006,NA,18,38,14,18,364,35,7,410,452,Whispering Meadow Elem Sch,18,0.03982300884955752,77,0.17035398230088494,452,0.8053097345132744,0.07743362831858407,0.015486725663716814,0.09292035398230089
0125,M S D Southwest Allen County,0047,Homestead Senior High School,2006,8,58,70,50,22,1788,44,21,1931,1996,Homestead Senior High School,12,0.006012024048096192,231,0.11573146292585171,1996,0.8957915831663327,0.022044088176352707,0.010521042084168337,0.03256513026052104
0255,East Allen County Schools,0049,Leo Junior/Senior High School,2006,3,9,6,6,11,1090,57,26,1042,1125,Leo Junior/Senior High School,7,0.006222222222222222,53,0.04711111111111111,1125,0.9688888888888889,0.050666666666666665,0.02311111111111111,0.07377777777777778
0255,East Allen County Schools,0053,Leo Elementary School,2006,1,1,1,6,9,512,18,19,493,530,Leo Elementary School,0,0,28,0.052830188679245285,530,0.9660377358490566,0.033962264150943396,0.035849056603773584,0.06981132075471698
0125,M S D Southwest Allen County,0063,Summit Middle School,2006,4,14,19,23,15,599,13,22,639,674,Summit Middle School,3,0.004451038575667656,101,0.14985163204747776,674,0.8887240356083086,0.019287833827893175,0.032640949554896145,0.05192878338278932
0125,M S D Southwest Allen County,0064,Lafayette Meadow School,2006,3,3,6,18,8,380,2,6,410,418,Lafayette Meadow School,0,0,69,0.16507177033492823,418,0.9090909090909091,0.004784688995215311,0.014354066985645933,0.019138755980861243
0125,M S D Southwest Allen County,0067,Woodside Middle School,2006,NA,57,47,21,9,724,22,8,828,858,Woodside Middle School,10,0.011655011655011656,91,0.10606060606060606,858,0.8438228438228438,0.02564102564102564,0.009324009324009324,0.03496503496503497
0125,M S D Southwest Allen County,0068,Haverhill Elementary School,2006,1,6,16,17,19,367,12,20,394,426,Haverhill Elementary School,2,0.004694835680751174,82,0.19248826291079812,426,0.8615023474178404,0.028169014084507043,0.046948356807511735,0.07511737089201878
0225,Northwest Allen County Schools,0069,Arcola School,2006,5,1,NA,1,4,169,32,7,141,180,Arcola School,1,0.005555555555555556,51,0.2833333333333333,180,0.9388888888888889,0.17777777777777778,0.03888888888888889,0.21666666666666667
0125,M S D Southwest Allen County,0071,Deer Ridge Elementary,2006,NA,14,9,9,9,404,4,1,440,445,Deer Ridge Elementary,1,0.0022471910112359553,78,0.1752808988764045,445,0.9078651685393259,0.008988764044943821,0.0022471910112359553,0.011235955056179775
0125,M S D Southwest Allen County,0072,Covington Elementary School,2006,NA,24,30,15,15,522,25,7,574,606,Covington Elementary School,0,0,83,0.13696369636963696,606,0.8613861386138614,0.041254125412541254,0.01155115511551155,0.052805280528052806
0255,East Allen County Schools,0073,Monroeville School,2006,NA,NA,NA,7,2,218,68,22,137,227,Monroeville School,0,0,45,0.19823788546255505,227,0.960352422907489,0.29955947136563876,0.09691629955947137,0.3964757709251101
0235,Fort Wayne Community Schools,0077,Pleasant Center Elem School,2006,3,3,99,22,13,154,148,22,124,294,Pleasant Center Elem School,1,0.003401360544217687,57,0.19387755102040816,294,0.5238095238095238,0.5034013605442177,0.07482993197278912,0.5782312925170068
