LAUS Code,State FIPS Code,fips_county,County Name/State Abbreviation,year,Labor Force,Employed,Unemployed,Unemployment Rate (%),County
CN1800100000000,18,001,"Adams County, IN",2000,16558,16108,450,2.7,Adams
CN1800300000000,18,003,"Allen County, IN",2000,175716,171002,4714,2.7,Allen
CN1800500000000,18,005,"Bartholomew County, IN",2000,37299,36329,970,2.6,Bartholomew
CN1800700000000,18,007,"Benton County, IN",2000,4829,4691,138,2.9,Benton
CN1800900000000,18,009,"Blackford County, IN",2000,7027,6726,301,4.3,Blackford
CN1801100000000,18,011,"Boone County, IN",2000,24262,23759,503,2.1,Boone
CN1801300000000,18,013,"Brown County, IN",2000,7871,7646,225,2.9,Brown
CN1801500000000,18,015,"Carroll County, IN",2000,10495,10204,291,2.8,Carroll
CN1801700000000,18,017,"Cass County, IN",2000,20650,20023,627,3,Cass
CN1801900000000,18,019,"Clark County, IN",2000,52463,50611,1852,3.5,Clark
CN1802100000000,18,021,"Clay County, IN",2000,12845,12321,524,4.1,Clay
CN1802300000000,18,023,"Clinton County, IN",2000,16463,15986,477,2.9,Clinton
CN1802500000000,18,025,"Crawford County, IN",2000,5110,4866,244,4.8,Crawford
CN1802700000000,18,027,"Daviess County, IN",2000,14092,13675,417,3,Daviess
CN1802900000000,18,029,"Dearborn County, IN",2000,24459,23663,796,3.3,Dearborn
CN1803100000000,18,031,"Decatur County, IN",2000,13429,13130,299,2.2,Decatur
CN1803300000000,18,033,"DeKalb County, IN",2000,21698,21054,644,3,DeKalb
CN1803500000000,18,035,"Delaware County, IN",2000,58632,56624,2008,3.4,Delaware
CN1803700000000,18,037,"Dubois County, IN",2000,22153,21667,486,2.2,Dubois
CN1803900000000,18,039,"Elkhart County, IN",2000,96759,94247,2512,2.6,Elkhart
CN1804100000000,18,041,"Fayette County, IN",2000,12398,11865,533,4.3,Fayette
CN1804300000000,18,043,"Floyd County, IN",2000,38028,36746,1282,3.4,Floyd
CN1804500000000,18,045,"Fountain County, IN",2000,8653,8385,268,3.1,Fountain
CN1804700000000,18,047,"Franklin County, IN",2000,11313,10922,391,3.5,Franklin
CN1804900000000,18,049,"Fulton County, IN",2000,10759,10328,431,4,Fulton
