County,year,population
Indiana,2000,6091866
Indiana,2001,6127760
Indiana,2002,6155967
Indiana,2003,6196638
Indiana,2004,6233007
Indiana,2005,6278616
Indiana,2006,6332669
Indiana,2007,6379599
Indiana,2008,6424806
Indiana,2009,6459325
Indiana,2010,6490621
Adams,2000,33597
Adams,2001,33556
Adams,2002,33523
Adams,2003,33746
Adams,2004,33822
Adams,2005,33867
Adams,2006,33887
Adams,2007,33962
Adams,2008,34214
Adams,2009,34351
Adams,2010,34396
Allen,2000,332786
Allen,2001,334956
Allen,2002,337124
Allen,2003,339569
Allen,2004,340916
Allen,2005,343238
Allen,2006,346314
Allen,2007,349534
Allen,2008,351264
Allen,2009,353693
Allen,2010,355856
Bartholomew,2000,71763
Bartholomew,2001,72110
Bartholomew,2002,71890
Bartholomew,2003,72299
Bartholomew,2004,72882
Bartholomew,2005,73660
Bartholomew,2006,74508
Bartholomew,2007,75265
Bartholomew,2008,76080
Bartholomew,2009,76566
Bartholomew,2010,76855
Benton,2000,9412
Benton,2001,9313
Benton,2002,9163
Benton,2003,9148
Benton,2004,9016
Benton,2005,8915
Benton,2006,8871
Benton,2007,8805
Benton,2008,8801
Benton,2009,8735
Benton,2010,8888
Blackford,2000,13988
Blackford,2001,13735
Blackford,2002,13696
Blackford,2003,13642
Blackford,2004,13496
Blackford,2005,13392
Blackford,2006,13161
Blackford,2007,13078
Blackford,2008,12971
Blackford,2009,12844
Blackford,2010,12747
Boone,2000,46390
Boone,2001,47035
Boone,2002,48071
Boone,2003,49047
Boone,2004,50158
Boone,2005,51261
Boone,2006,52750
Boone,2007,53778
Boone,2008,54648
Boone,2009,55915
Boone,2010,56891
Brown,2000,14998
Brown,2001,15200
Brown,2002,15339
Brown,2003,15375
Brown,2004,15390
Brown,2005,15283
Brown,2006,15329
Brown,2007,15274
Brown,2008,15274
Brown,2009,15261
Brown,2010,15218
Carroll,2000,20150
Carroll,2001,20298
Carroll,2002,20270
Carroll,2003,20433
Carroll,2004,20148
Carroll,2005,20274
Carroll,2006,20179
Carroll,2007,20118
Carroll,2008,20114
Carroll,2009,20103
Carroll,2010,20162
Cass,2000,40939
Cass,2001,40859
Cass,2002,40389
Cass,2003,40218
Cass,2004,39921
Cass,2005,39637
Cass,2006,39255
Cass,2007,39033
Cass,2008,39070
Cass,2009,38968
Cass,2010,38965
Clark,2000,96714
Clark,2001,97228
Clark,2002,97935
Clark,2003,99349
Clark,2004,100435
Clark,2005,101781
Clark,2006,104148
Clark,2007,105672
Clark,2008,107406
Clark,2009,109067
Clark,2010,110610
Clay,2000,26565
Clay,2001,26605
Clay,2002,26486
Clay,2003,26788
Clay,2004,27015
Clay,2005,27097
Clay,2006,27096
Clay,2007,26983
Clay,2008,27058
Clay,2009,26901
Clay,2010,26876
Clinton,2000,33942
Clinton,2001,33809
Clinton,2002,33610
Clinton,2003,33383
Clinton,2004,33342
Clinton,2005,33237
Clinton,2006,33298
Clinton,2007,33188
Clinton,2008,33352
Clinton,2009,33280
Clinton,2010,33234
Crawford,2000,10786
Crawford,2001,10922
Crawford,2002,10976
Crawford,2003,11007
Crawford,2004,11029
Crawford,2005,11012
Crawford,2006,11008
Crawford,2007,10933
Crawford,2008,10792
Crawford,2009,10664
Crawford,2010,10726
Daviess,2000,29882
Daviess,2001,29755
Daviess,2002,29860
Daviess,2003,30108
Daviess,2004,30300
Daviess,2005,30452
Daviess,2006,30469
Daviess,2007,30702
Daviess,2008,30947
Daviess,2009,31389
Daviess,2010,31716
Dearborn,2000,46349
Dearborn,2001,46726
Dearborn,2002,47052
Dearborn,2003,47631
Dearborn,2004,48135
Dearborn,2005,48421
Dearborn,2006,48879
Dearborn,2007,49348
Dearborn,2008,49643
Dearborn,2009,49931
Dearborn,2010,50100
Decatur,2000,24572
Decatur,2001,24585
Decatur,2002,24793
Decatur,2003,24946
Decatur,2004,25208
Decatur,2005,25374
Decatur,2006,25469
Decatur,2007,25486
Decatur,2008,25600
Decatur,2009,25595
Decatur,2010,25772
DeKalb,2000,40537
DeKalb,2001,40576
DeKalb,2002,40732
DeKalb,2003,41047
DeKalb,2004,41283
DeKalb,2005,41494
DeKalb,2006,41594
DeKalb,2007,41876
DeKalb,2008,42033
DeKalb,2009,42053
DeKalb,2010,42285
Delaware,2000,118776
Delaware,2001,120281
Delaware,2002,119949
Delaware,2003,119935
Delaware,2004,118938
Delaware,2005,118170
Delaware,2006,117326
Delaware,2007,117229
Delaware,2008,117007
Delaware,2009,117490
Delaware,2010,117669
Dubois,2000,39892
Dubois,2001,40142
Dubois,2002,40244
Dubois,2003,40547
Dubois,2004,40950
Dubois,2005,41265
Dubois,2006,41589
Dubois,2007,41728
Dubois,2008,41955
Dubois,2009,41897
Dubois,2010,41875
Elkhart,2000,183412
Elkhart,2001,184708
Elkhart,2002,184543
Elkhart,2003,187149
Elkhart,2004,189316
Elkhart,2005,192242
Elkhart,2006,195047
Elkhart,2007,196304
Elkhart,2008,197762
Elkhart,2009,197514
Elkhart,2010,197646
Fayette,2000,25556
Fayette,2001,25263
Fayette,2002,25094
Fayette,2003,24953
Fayette,2004,24844
Fayette,2005,24700
Fayette,2006,24508
Fayette,2007,24413
Fayette,2008,24384
Fayette,2009,24247
Fayette,2010,24282
Floyd,2000,70879
Floyd,2001,71441
Floyd,2002,71407
Floyd,2003,71219
Floyd,2004,71465
Floyd,2005,71905
Floyd,2006,72358
Floyd,2007,72876
Floyd,2008,73775
Floyd,2009,74284
Floyd,2010,74679
