County,year,fips_county,percent_pov,mhi
Indiana,2000,000,0.08800000000000001,41511
Adams,2000,001,0.09,42190
Allen,2000,003,0.08199999999999999,44365
Bartholomew,2000,005,0.071,46301
Benton,2000,007,0.073,41085
Blackford,2000,009,0.095,36319
Boone,2000,011,0.053,54615
Brown,2000,013,0.079,46154
Carroll,2000,015,0.068,44687
Cass,2000,017,0.085,39512
Clark,2000,019,0.08199999999999999,41039
Clay,2000,021,0.09300000000000001,38197
Clinton,2000,023,0.083,41586
Crawford,2000,025,0.139,33770
Daviess,2000,027,0.124,35218
Dearborn,2000,029,0.063,50547
Decatur,2000,031,0.081,42495
De Kalb,2000,033,0.057,46357
Delaware,2000,035,0.11900000000000001,35791
Dubois,2000,037,0.045,46484
Elkhart,2000,039,0.083,44986
Fayette,2000,041,0.096,39133
Floyd,2000,043,0.08,44789
Fountain,2000,045,0.083,39486
Franklin,2000,047,0.073,45385
Fulton,2000,049,0.087,39280
Gibson,2000,051,0.08,39438
Grant,2000,053,0.11699999999999999,36741
Greene,2000,055,0.1,35155
Hamilton,2000,057,0.031,76478
Hancock,2000,059,0.044000000000000004,57384
Harrison,2000,061,0.07200000000000001,44606
Hendricks,2000,063,0.039,58193
Henry,2000,065,0.086,39726
Howard,2000,067,0.08800000000000001,45800
Huntington,2000,069,0.066,43091
Jackson,2000,071,0.078,40700
Jasper,2000,073,0.069,45118
Jay,2000,075,0.098,36412
Jefferson,2000,077,0.1,38566
Jennings,2000,079,0.086,39514
Johnson,2000,081,0.057,53930
Knox,2000,083,0.139,32454
Kosciusko,2000,085,0.063,45539
Lagrange,2000,087,0.08,44096
Lake,2000,089,0.111,41529
La Porte,2000,091,0.095,40926
Lawrence,2000,093,0.08800000000000001,37743
Madison,2000,095,0.09300000000000001,39690
Marion,2000,097,0.10300000000000001,41304
Marshall,2000,099,0.075,42947
Martin,2000,101,0.102,37656
Miami,2000,103,0.091,39991
Monroe,2000,105,0.111,35453
Montgomery,2000,107,0.084,42027
Morgan,2000,109,0.071,49387
Newton,2000,111,0.08,41611
Noble,2000,113,0.068,43793
Ohio,2000,115,0.067,41973
Orange,2000,117,0.12,32787
