fips_county,county_name.x,NAME,year,ENROLL,TOTALREV,TFEDREV,FEDRCOMP,FEDRHAND,FEDRNUTR,FEDROTHR,TSTREV,STRFORM,STRHAND,STRTRANS,STROTHR,TLOCREV,LOCRTAX,LOCRPROP,LOCRPAR,LOCRCICO,LOCROSCH,LOCRCHAR,LOCROTHR,TOTALEXP,TCURSPND,TSALWAGE,TEMPBENE,TCURINST,TCURISAL,TCURIBEN,TCURSSVC,TCURSPUP,TCURSSTA,TCURSGEN,TCURSSCH,TCURSOTH,TCURONON,TCAPOUT,TPAYOTH,TINTRST,DEBTOUT,LONGISSU,LONGRET,PCTTOTAL,PCTFTOT,PCTFCOMP,PCTSTOT,PCTSFORM,PCTLTOT,PCTLTAXP,PCTLOTHG,PCTLCHAR,PPCSTOT,PPSALWG,PPEMPBEN,PPITOTAL,PPISALWG,PPIEMBEN,PPSTOTAL,PPSPUPIL,PPSSTAFF,PPSGENAD,PPSSCHAD,FEDRSPEC,STRSPEC,CSA,CBSA,NCESID,county_name.y
001,Adams,ADAMS CENT COMM SCH DIST,2000,1210,8597,202,107,0,54,41,4935,4036,27,73,799,3460,2793,2793,0,0,12,389,266,8547,7137,4619,1541,4149,3036,1030,2540,249,220,250,443,1378,448,571,725,114,618,24,81,100,2.4,1.2,57.4,46.9,40.2,32.5,0.1,4.5,5769,3817,1274,3429,2509,851,2099,206,182,207,366,NA,NA,NA,NA,NA,Adams
001,Adams,NORTH ADAMS CMNTY SCHOOL DIST,2000,2420,21627,1286,399,0,165,722,11889,9610,52,46,2181,8453,6930,6930,0,37,189,1011,286,22314,18603,11257,4034,9991,6911,2627,7163,673,1311,695,1074,3410,1449,1462,2199,50,269,0,177,100,5.9,1.8,55,44.4,39.1,32,1,4.7,7435,4652,1667,4129,2856,1086,2960,278,542,287,444,NA,NA,NA,NA,NA,Adams
001,Adams,SOUTH ADAMS SCH DIST,2000,1580,11742,870,658,0,109,103,6486,5353,25,46,1062,4386,3757,3757,0,0,17,413,199,12253,9809,6202,2375,5723,4016,1577,3618,342,562,259,517,1938,468,1576,868,0,0,0,0,100,7.4,5.6,55.2,45.6,37.4,32,0.1,3.5,6136,3925,1503,3622,2542,998,2290,216,356,164,327,NA,NA,NA,NA,NA,Adams
003,Allen,FORT WAYNE COMMUNITY SCHOOLS,2000,31507,266827,14913,5094,3164,4192,2463,132555,103368,907,695,27585,119359,87288,87288,0,12,825,6838,24396,264510,236173,136475,69769,141241,87798,46553,82177,10298,13971,2169,13225,42514,12755,24067,3747,523,2465,1835,1277,100,5.6,1.9,49.7,38.7,44.7,32.7,0.3,2.6,7385,4332,2214,4483,2787,1478,2608,327,443,69,420,NA,NA,NA,NA,NA,Allen
003,Allen,EAST ALLEN COUNTY SCHOOLS,2000,10289,95521,2832,982,0,934,916,45283,37641,238,116,7288,47406,36798,36798,0,25,12,2738,7833,82411,69057,40913,19724,43542,28063,14014,21350,2735,1436,836,4788,11555,4165,9623,3558,173,0,0,0,100,3,1,47.4,39.4,49.6,38.5,0,2.9,6633,3976,1917,4232,2727,1362,2075,266,140,81,465,NA,NA,NA,NA,NA,Allen
003,Allen,NORTHWEST ALLEN COUNTY SCHOOLS,2000,4380,33138,325,94,0,140,91,16576,13518,50,231,2777,16237,12403,12403,0,3,149,2901,781,31743,26162,15622,7166,16538,10974,5075,8402,1003,651,756,1673,4319,1222,1756,3719,106,1005,0,70,100,1,0.3,50,40.8,49,37.4,0.5,8.8,5973,3567,1636,3776,2505,1159,1918,229,149,173,382,NA,NA,NA,NA,NA,Allen
003,Allen,SOUTHWEST ALLEN CO METRO SCH DST,2000,5670,54030,1207,0,779,159,269,18388,13818,82,111,4377,34435,31039,31039,0,129,925,1662,680,51660,39328,25101,8662,25542,17737,6228,12216,1368,1222,772,2193,6661,1570,3481,8530,321,48,0,1096,100,2.2,0,34,25.6,63.7,57.4,2,3.1,6888,4427,1528,4505,3128,1098,2154,241,216,136,387,NA,NA,NA,NA,NA,Allen
005,Bartholomew,FLAT ROCK HAWCREEK SCH CORPORATION,2000,1103,8010,205,71,0,124,10,5108,4297,14,117,680,2697,2115,2115,0,135,0,342,105,7814,6381,3717,1443,3863,2710,1066,2109,94,134,229,511,1141,409,408,887,138,3607,1600,149,100,2.6,0.9,63.8,53.6,33.7,26.4,1.7,4.3,5785,3370,1308,3502,2457,966,1912,85,121,208,463,NA,NA,NA,NA,NA,Bartholomew
005,Bartholomew,BARTHOLOMEW CONS SCHOOL CORP,2000,10532,94332,5058,864,2130,896,1168,41281,33194,318,263,7506,47994,39289,39289,0,1832,534,3803,2536,90931,75831,45695,21643,48358,31535,15596,23869,4691,1484,719,3263,13712,3604,7899,6869,332,0,0,0,100,5.4,0.9,43.8,35.2,50.9,41.6,2.5,4,7086,4339,2055,4592,2994,1481,2266,445,141,68,310,NA,NA,NA,NA,NA,Bartholomew
007,Benton,BENTON COMMUNITY SCHOOL CORP.,2000,2132,18278,241,133,0,0,108,9318,7224,48,17,2029,8720,7555,7555,0,213,112,452,388,19650,15612,10300,3546,9272,6729,2352,5724,786,427,189,844,3478,616,3035,829,174,950,0,12,100,1.3,0.7,51,39.5,47.7,41.3,1.8,2.5,7300,4831,1663,4349,3156,1103,2685,369,200,89,396,NA,NA,NA,NA,NA,Benton
